ScheduleNumber,ParcelNumber,Address,Owner,Legal,Subdivision
R0765414,97222-13-062,,,,
R0765279,97222-13-047,,,,
R0765457,97222-13-061,,,,
R0765309,97222-13-048,,,,
R0765392,97222-13-060,,,,
R0765295,97222-13-049,,,,
R0765422,97222-13-059,,,,
R0765325,97222-13-050,,,,
R0765376,97222-13-058,,,,
R0765317,97222-13-051,,,,
R0765406,97222-13-057,,,,
R0765341,97222-13-052,,,,
R0765384,97222-13-056,,,,
R0765350,97222-13-055,,,,
R0765368,97222-13-054,,,,
R0765333,97222-13-053,,,,
R0765228,97222-13-040,,,,
R0764850,97222-13-039,,,,
R0764841,97222-13-038,,,,
R0765210,97222-13-037,,,,
R0765201,97222-13-041,,,,
R0765163,97222-13-036,,,,
R0765236,97222-13-042,,,,
R0765198,97222-13-035,,,,
R0765180,97222-13-043,,,,
R0765171,97222-13-034,,,,
R0765252,97222-13-044,,,,
R0765147,97222-13-033,,,,
R0765244,97222-13-045,,,,
R0765155,97222-13-032,,,,
R0765287,97222-13-046,,,,
R0182923,97222-06-046,,,,
R0182834,97222-06-037,,,,
R0182907,97222-06-044,,,,
R0149390,97222-06-038,,,,
R0182885,97222-06-042,,,,
R0182877,97222-06-041,,,,
R0622397,97222-08-021,,,,
R0622389,97222-08-020,,,,
R0622362,97222-08-019,,,,
R0622460,97222-08-027,,,,
R0622346,97222-08-017,,,,
R0622338,97222-08-016,,,,
R0182192,97221-11-078,,,,
R0671983,97221-13-021,,,,
R0671975,97221-13-020,,,,
R0671967,97221-13-019,,,,
R0671959,97221-13-018,,,,
R0671932,97221-13-017,,,,
R0672530,97221-13-072,,,,
R0671924,97221-13-016,,,,
R0671916,97221-13-015,,,,
R0672548,97221-13-073,,,,
R0671908,97221-13-014,,,,
R0671894,97221-13-013,,,,
R0672556,97221-13-074,,,,
R0671886,97221-13-012,,,,
R0672564,97221-13-075,,,,
R0671878,97221-13-011,,,,
R0672572,97221-13-076,,,,
R0671860,97221-13-010,,,,
R0672599,97221-13-077,,,,
R0671851,97221-13-009,,,,
R0672602,97221-13-078,,,,
R0671843,97221-13-008,,,,
R0671835,97221-13-007,,,,
R0671827,97221-13-006,,,,
R0671819,97221-13-005,,,,
R0672629,97221-13-079,,,,
R0671797,97221-13-004,,,,
R0671789,97221-13-003,,,,
R0672637,97221-13-080,,,,
R0671762,97221-13-002,,,,
R0672432,97221-13-063,,,,
R0671754,97221-13-001,,,,
R0622478,97222-08-028,,,,
R0622486,97222-08-029,,,,
R0622311,97222-08-014,,,,
R0622494,97222-08-030,,,,
R0622303,97222-08-013,,,,
R0622508,97222-08-031,,,,
R0622516,97222-08-032,,,,
R0622281,97222-08-011,,,,
R0622524,97222-08-033,,,,
R0622273,97222-08-010,,,,
R0622532,97222-08-034,,,,
R0622265,97222-08-009,,,,
R0622559,97222-08-035,,,,
R0622257,97222-08-008,,,,
R0765112,97222-13-031,,,,
R0767859,97222-13-015,,,,
R0765139,97222-13-030,,,,
R0767867,97222-13-016,,,,
R0765082,97222-13-029,,,,
R0767875,97222-13-017,,,,
R0765066,97222-13-028,,,,
R0767883,97222-13-018,,,,
R0765104,97222-13-027,,,,
R0767891,97222-13-019,,,,
R0765040,97222-13-026,,,,
R0765074,97222-13-025,,,,
R0767905,97222-13-020,,,,
R0764876,97222-13-024,,,,
R0764868,97222-13-023,,,,
R0767921,97222-13-022,,,,
R0767913,97222-13-021,,,,
R0767778,97222-13-008,,,,
R0767760,97222-13-007,,,,
R0767786,97222-13-009,,,,
R0767751,97222-13-006,,,,
R0767794,97222-13-010,,,,
R0767743,97222-13-005,,,,
R0767808,97222-13-011,,,,
R0767735,97222-13-004,,,,
R0767816,97222-13-012,,,,
R0767727,97222-13-003,,,,
R0767824,97222-13-013,,,,
R0767719,97222-13-002,,,,
R0767697,97222-13-001,,,,
R0767832,97222-13-014,,,,
R0672262,97224-12-048,,,,
R0672254,97221-13-047,,,,
R0672246,97221-13-046,,,,
R0672238,97221-13-045,,,,
R0672220,97221-13-044,,,,
R0672211,97221-13-043,,,,
R0672289,97224-12-049,,,,
R0672297,97224-12-050,,,,
R0101699,97224-06-020,,,,
R0101745,97224-06-024,,,,
R0101753,97224-06-025,,,,
R0101656,97224-06-017,,,,
R0101770,97224-06-027,,,,
R0101613,97223-15-013,,,,
R0101583,97223-15-010,,,,
R0768308,97222-11-002,,,,
R0765490,97222-13-063,,,,
R0765619,97222-13-076,,,,
R0765449,97222-13-064,,,,
R0765562,97222-13-075,,,,
R0765473,97222-13-065,,,,
R0765589,97222-13-074,,,,
R0765465,97222-13-066,,,,
R0765546,97222-13-073,,,,
R0765554,97222-13-072,,,,
R0765511,97222-13-068,,,,
R0765520,97222-13-071,,,,
R0765503,97222-13-069,,,,
R0765538,97222-13-070,,,,
R0182516,97222-06-008,,,,
R0182532,97222-06-010,,,,
R0182524,97222-06-009,,,,
R0652717,97222-09-052,,,,
R0652725,97222-09-053,,,,
R0652709,97222-09-051,,,,
R0652695,97222-09-050,,,,
R0652733,97222-09-054,,,,
R0652687,97222-09-049,,,,
R0652741,97222-09-055,,,,
R0652679,97222-09-048,,,,
R0652652,97222-09-047,,,,
R0652750,97222-09-056,,,,
R0652636,97222-09-046,,,,
R0652610,97222-09-044,,,,
R0652768,97222-09-057,,,,
R0652601,97222-09-043,,,,
R0652776,97222-09-058,,,,
R0652598,97222-09-042,,,,
R0652784,97222-09-059,,,,
R0652792,97222-09-060,,,,
R0652571,97222-09-040,,,,
R0182630,97222-06-019,,,,
R0622583,97222-08-038,,,,
R0622575,97222-08-037,,,,
R0622192,97222-08-003,,,,
R0182818,97222-06-035,,,,
R0182800,97222-06-034,,,,
R0182796,97222-06-033,,,,
R0182770,97222-06-031,,,,
R0182974,97222-06-051,,,,
R0182982,97222-06-052,,,,
R0183008,97222-06-053,,,,
R0182737,97222-06-027,,,,
R0182729,97222-06-026,,,,
R0182702,97222-06-025,,,,
R0183024,97222-06-055,,,,
R0182672,97222-06-023,,,,
R0183032,97222-06-056,,,,
R0672181,97221-13-040,,,,
R0672343,97221-13-054,,,,
R0672335,97221-13-053,,,,
R0672327,97221-13-052,,,,
R0672319,97224-12-051,,,,
R1121880,97232-25-002,,,,
R1313312,97232-42-005,,,,
R1122118,97232-26-002,,,,
R1122126,97232-26-003,,,,
R1121952,97232-25-009,,,,
R1121979,97232-25-010,,,,
R1122177,97232-26-007,,,,
R1122002,97232-25-013,,,,
R1122223,97232-26-012,,,,
R1122258,97232-26-015,,,,
R1122266,97232-26-016,,,,
R0182451,97222-06-002,,,,
R0182575,97222-06-013,,,,
R0182591,97222-06-015,,,,
R0182605,97222-06-016,,,,
R0672025,97221-13-025,,,,
R0672033,97221-13-026,,,,
R0672017,97221-13-024,,,,
R0672041,97221-13-027,,,,
R0672009,97221-13-023,,,,
R0672050,97221-13-028,,,,
R0671991,97221-13-022,,,,
R0672068,97221-13-029,,,,
R0672076,97221-13-030,,,,
R0672084,97221-13-031,,,,
R0672521,97221-13-071,,,,
R0672092,97221-13-032,,,,
R0672513,97221-13-070,,,,
R0672106,97221-13-033,,,,
R0672505,97221-13-069,,,,
R0672114,97221-13-034,,,,
R0672491,97221-13-068,,,,
R0672122,97221-13-035,,,,
R0672483,97221-13-067,,,,
R0672149,97221-13-036,,,,
R0672475,97221-13-066,,,,
R0672157,97221-13-037,,,,
R0672467,97221-13-065,,,,
R0672165,97221-13-038,,,,
R0672459,97221-13-064,,,,
R0672173,97221-13-039,,,,
R0672351,97221-13-055,,,,
R0672360,97221-13-056,,,,
R0672416,97222-21-061,,,,
R0672378,97221-13-057,,,,
R0672408,97222-21-060,,,,
R0672386,97222-21-058,,,,
R0672394,97222-21-059,,,,
R0181684,97221-05-007,,,,
R0181692,97221-05-008,,,,
R0181706,97221-05-009,,,,
R0181749,97221-05-012,,,,
R0181765,97221-05-014,,,,
R0181773,97221-05-015,,,,